Number,Building,Architect(s),Neighborhood,Google Maps search query
1,Tokyu Plaza Ginza,Nikken Sekkei,Ginza,"Tokyu Plaza Ginza Tokyo Japan"
2,Maison Hermes Tokyo,Renzo Piano,Ginza,"Maison Hermes Ginza Tokyo Japan"
3,Yamaha Ginza,Nikken Sekkei,Ginza,"Yamaha Ginza Building Tokyo Japan"
4,Louis Vuitton Matsuya Ginza Facade Renewal,Jun Aoki & Associates,Ginza,"Matsuya Ginza Louis Vuitton Tokyo Japan"
5,De Beers Ginza Building,Jun Mitsui & Associates Architects,Ginza,"De Beers Ginza Building Tokyo Japan"
6,Shizuoka Press and Broadcasting Center,Kenzo Tange,Ginza,"Shizuoka Press and Broadcasting Center Tokyo Japan"
7,Tokyo International Forum,Rafael Vinoly Architects,Ginza,"Tokyo International Forum Japan"
8,Louis Vuitton Ginza Flagship Store,Jun Aoki Architects + Peter Marino Architect,Ginza,"Louis Vuitton Ginza Namiki Tokyo Japan"
9,Miu Miu Aoyama Store,Herzog & de Meuron,Omotesando,"Miu Miu Aoyama Tokyo Japan"
10,Omotesando Keyaki Building,Norihiko Dan and Associates,Omotesando,"Omotesando Keyaki Building Tokyo Japan"
11,Coach Omotesando Flagship,OMA,Omotesando,"Coach Omotesando Flagship Tokyo Japan"
12,Yoyogi National Gymnasium,Kenzo Tange,Shibuya,"Yoyogi National Gymnasium Tokyo Japan"
13,Sunwell Muse Kitasando,Takato Tamagami and Tsutomu Hase,Shibuya,"Sunwell Muse Kitasando Tokyo Japan"
14,Miyashita Park,Nikken Sekkei,Shibuya,"Miyashita Park Tokyo Japan"
15,TRUNK(HOTEL) YOYOGI PARK,Keiji Ashizawa Design,Shibuya,"TRUNK HOTEL YOYOGI PARK Tokyo Japan"
16,UPI Shop in Omotesando,Happenstance Collective [HaCo],Shibuya,"UPI Omotesando Tokyo Japan"
17,Japan National Stadium,Taisei + Azusa Sekkei + Kengo Kuma & Associates,Shinjuku,"Japan National Stadium Tokyo Japan"
18,Mode Gakuen Cocoon Tower,Kenzo Tange,Shinjuku,"Mode Gakuen Cocoon Tower Tokyo Japan"
19,Spiral Building,Fumihiko Maki,Aoyama,"Spiral Building Aoyama Tokyo Japan"
20,Asakusa Culture and Tourism Center,Kengo Kuma & Associates,Asakusa,"Asakusa Culture Tourist Information Center Tokyo Japan"
21,House NA,Sou Fujimoto Architects,Koenji,"House NA Sou Fujimoto Tokyo Japan"
22,Breeze,ARTechnic Architects,Setagaya,"Breeze ARTechnic Setagaya Tokyo Japan"
23,Za Koenji Public Theatre,Toyo Ito,Suginami,"ZA-KOENJI Public Theatre Tokyo Japan"
24,Shibaura House,Kazuyo Sejima,Shibaura,"Shibaura House Tokyo Japan"
25,Asahi Beer Hall,Philippe Starck,Sumida,"Asahi Beer Hall Tokyo Japan"
26,Ariake Gymnastics Centre,Nikken Sekkei + Shimizu Corporation,Koto,"Ariake Gymnastics Centre Tokyo Japan"
27,St. Mary Cathedral,Kenzo Tange,Sekiguchi,"St Mary's Cathedral Tokyo Japan"
28,One@Tokyo,Kengo Kuma & Associates,Oshiage,"ONE@Tokyo hotel Japan"
29,Musashino Art University Museum & Library,Sou Fujimoto,Kodaira,"Musashino Art University Museum & Library Tokyo Japan"
30,Tama Art University Library,Toyo Ito & Associates,Hachioji,"Tama Art University Library Hachioji Tokyo Japan"
31,Harumi Residential Tower,Richard Meier & Partners Architects,Harumi,"Harumi Residential Tower Richard Meier Tokyo Japan"
32,Tokyo Institute of Technology Hisao & Hiroko Taki Plaza,Kengo Kuma & Associates,Meguro,"Hisao Hiroko Taki Plaza Tokyo Institute Technology Tokyo Japan"
33,Azabudai Hills,Heatherwick Studio,Minato,"Azabudai Hills Tokyo Japan"
34,Toranomon Hills Station Tower,OMA / Shohei Shigematsu,Minato,"Toranomon Hills Station Tower Tokyo Japan"
35,K5 Tokyo Hotel,Claesson Koivisto Rune,Nihonbashi,"K5 Tokyo Hotel Japan"
